restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,City Tier,State/U.T,Region
London Bubble Co.,3.5,200,37,0,0,0,0,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
London Bubble Co.,3.8,200,38,0,0,0,0,0,0,Belgaum,Tier 2 Cities,Karnataka,South India
London Dessert Co.,3.5,200,40,0,0,0,0,0,0,Chennai,Tier 1  Cities,Tamil Nadu,South India
London Pizza & Shakes,3.9,100,46,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
London Shakes,4.0,100,25,0,0,1,0,0,0,Sangli,Tier 2 Cities,Maharashtra,West India
London Yard Pizza,3.5,100,42,0,0,1,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
Long Shree Fruit & Juice Shop,4.3,50,21,0,0,0,0,0,0,Agra,Tier 2 Cities,Uttar Pradesh,North India
Longtime Restaurant,3.6,150,43,0,0,1,0,0,0,Trivandrum,Tier 2 Cities,Kerala,South India
Looco's Pizza,4.2,150,38,0,0,1,0,0,0,Palakkad,Tier 3 Cities,Kerala,South India
Looco's Pizza,4.3,200,26,0,0,1,0,0,0,Thrissur,Tier 2 Cities,Kerala,South India
Look Act East Kitchen,3.8,300,55,0,0,0,0,0,0,NCR,NCR,NCR,NCR
Lookwell Bakers,4.1,100,15,0,0,0,0,0,1,Amritsar,Tier 2 Cities,Punjab,North India
Looters,4.1,100,17,0,0,1,0,0,0,Jaipur,Tier 2 Cities,Rajasthan,North India
Lord Of Barbeque,3.2,250,34,0,1,0,0,1,0,Nagpur,Tier 2 Cities,Maharashtra,West India
Lord Of Biryani,4.5,100,38,0,1,0,0,1,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
Lord Of Eats,3.7,100,31,0,1,0,0,0,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
Lord Of The Rice,4.1,350,46,0,0,0,0,1,0,Surat,Tier 2 Cities,Gujarat,West India
Lord Of The Rolls,3.5,100,38,0,0,0,0,0,0,NCR,NCR,NCR,NCR
Lord Of The Wraps,4.0,100,25,0,0,0,0,0,0,Saharanpur,Tier 2 Cities,Uttar Pradesh,North India
Lord Petrick,4.1,200,28,0,0,1,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
Lords,3.9,100,29,0,1,1,0,0,0,Trivandrum,Tier 2 Cities,Kerala,South India
Lord's Eco Inn,3.5,100,50,0,1,0,0,0,0,Jamnagar,Tier 2 Cities,Gujarat,West India
Lords Of Burger King,3.7,100,29,0,0,0,0,0,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
Lords Of Fries,4.3,150,31,0,0,1,0,0,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
Lords Of Kitchen,4.1,100,36,0,1,1,0,1,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
Lords Of Shawarma,4.0,150,35,0,0,1,0,0,0,NCR,NCR,NCR,NCR
