restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,City Tier,State/U.T,Region
# Momo,4.2,200,34,0,0,0,0,0,0,Durgapur,Tier 2 Cities,West Bengal,East India
#99,4.1,100,31,0,0,0,0,0,0,Bareilly,Tier 2 Cities,Uttar Pradesh,North India
#BBQ,3.6,200,57,0,0,1,0,0,0,Mangalore,Tier 2 Cities,Karnataka,South India
#Dilliwaala6,3.7,100,38,0,1,0,1,0,0,Puducherry,Tier 3 Cities,Puducherry,South India
#FlyFree,4.0,200,26,0,0,1,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
#Foodiz,3.5,100,23,0,1,1,0,0,0,Udaipur,Tier 2 Cities,Rajasthan,North India
#Hashtag Momos,4.3,300,25,0,0,1,0,0,0,Jaipur,Tier 2 Cities,Rajasthan,North India
#PB Patiala Bites,4.0,350,47,0,1,1,0,0,0,Udaipur,Tier 2 Cities,Rajasthan,North India
'@ Pizza,4.0,200,71,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
'@ Spirants Chai,4.2,150,24,0,0,0,0,0,0,Gaya,Tier 3 Cities,Bihar,East India
'@69 Food Zone,3.7,200,35,0,1,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
0265 Burgers & Pizzas,4.5,150,24,0,0,1,0,0,0,Vadodara,Tier 2 Cities,Gujarat,West India
0612 Road Chef Online,4.2,250,35,0,1,0,0,1,0,Patna,Tier 2 Cities,Bihar,East India
07 Bakery,2.7,150,23,0,0,0,0,0,1,Kota,Tier 2 Cities,Rajasthan,North India
1 Bake Shop,4.0,100,38,0,0,1,0,0,1,Bhubaneswar,Tier 2 Cities,Odisha,East India
1 Bake Shop,4.1,100,24,0,0,1,0,0,1,Cuttack,Tier 2 Cities,Odisha,East India
10 Downing Street,4.3,150,24,0,1,0,0,0,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
10 Dur's,4.1,200,20,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
10 Hour's Family Restaurant,3.8,200,32,0,1,1,0,1,0,Patna,Tier 2 Cities,Bihar,East India
10 Muffins,4.4,600,37,0,0,0,0,0,0,Chennai,Tier 1  Cities,Tamil Nadu,South India
10 Park Street Cafe & Kitchen,4.2,300,34,0,1,0,0,0,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
10 To 10 Restaurants & Party Hall,3.0,100,26,1,1,0,0,0,0,Patna,Tier 2 Cities,Bihar,East India
100 Foodies,3.8,100,27,0,0,1,1,0,0,Kota,Tier 2 Cities,Rajasthan,North India
1000 BC,3.6,150,51,0,1,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
100N,4.1,50,55,0,0,1,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
11 July Fine Dine Restaurant,3.8,150,39,0,1,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
11 Spices Multi Cusine Restaurant,3.5,150,49,0,0,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
11 Star Cakes,3.7,100,27,0,0,0,0,0,1,Meerut,Tier 2 Cities,Uttar Pradesh,North India
11-11 Flash Back,4.2,150,25,0,0,0,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
11-11 The Food Station,4.1,100,28,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
11th Avenue Cafe Bistro,3.7,400,48,0,0,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
11th Avenue Cafe Bistro,4.0,150,53,0,0,1,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
11To11,4.4,100,25,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
1211 Pizza Point,4.0,150,45,0,0,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
12-3 AM Biryani,3.1,200,28,0,1,1,1,0,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
13 Shawarma,4.0,150,30,0,0,1,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
143 Cake House,3.8,100,28,0,0,0,0,0,1,Jalandhar,Tier 2 Cities,Punjab,North India
1441 Pizzeria,3.8,100,39,0,0,0,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
1441 Pizzeria,3.8,150,36,0,0,1,0,0,0,Pune,Tier 1  Cities,Maharashtra,West India
1441 Pizzeria,4.0,100,30,0,0,1,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
14Greens,3.9,200,35,0,1,0,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
15 A.D.,4.5,150,22,0,0,1,0,0,0,Jodhpur,Tier 2 Cities,Rajasthan,North India
17 Degree City Centre,4.3,200,32,0,1,0,1,0,0,Dhanbad,Tier 2 Cities,Jharkhand,East India
17 Degrees,4.1,100,39,0,1,0,0,0,0,Patna,Tier 2 Cities,Bihar,East India
17 Degrees Hotel,4.1,150,41,0,1,0,0,0,0,Dhanbad,Tier 2 Cities,Jharkhand,East India
17 Sector,4.3,100,34,0,0,0,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
18 Degree Icecream Zone,4.3,200,23,0,0,0,0,0,0,Trichy,Tier 2 Cities,Tamil Nadu,South India
1857 City Cafe,4.1,100,30,0,1,1,0,0,0,Meerut,Tier 2 Cities,Uttar Pradesh,North India
19 Mini Pancakes,4.1,100,37,0,0,0,0,0,0,Puducherry,Tier 3 Cities,Puducherry,South India
1944 -The HOCCO Kitchen,4.2,150,28,0,1,1,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
1944 -The HOCCO Kitchen,4.3,100,23,0,1,1,0,0,0,Ahmedabad,Tier 1  Cities,Gujarat,West India
1947,4.4,200,48,0,1,0,1,1,0,Bangalore,Tier 1  Cities,Karnataka,South India
1947 Food Nation,3.6,150,40,1,0,0,0,0,0,Nellore,Tier 2 Cities,Andhra Pradesh,South India
1947 Restaurant,3.3,100,17,1,1,0,0,0,0,Moradabad,Tier 2 Cities,Uttar Pradesh,North India
1952 A Food Story,4.1,150,28,0,1,0,0,0,0,Jodhpur,Tier 2 Cities,Rajasthan,North India
1968 Veg Restaurant - Hotel Manorama,3.8,250,27,1,1,0,0,1,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
1989 Milkshakes,4.2,100,37,0,0,1,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
1989 Pizza & Thick Shake's,4.0,200,41,0,0,1,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
1C Dining,3.8,100,43,1,1,0,0,1,0,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
2 Bros Pizza & Resto,3.4,200,56,0,0,0,0,0,0,Bareilly,Tier 2 Cities,Uttar Pradesh,North India
2 Bross Pizza Cafe,3.5,150,28,0,0,1,0,0,0,Aligarh,Tier 2 Cities,Uttar Pradesh,North India
2 K,4.0,150,44,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
2 Kaudi Ki Chai,4.0,100,33,0,0,0,1,0,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
2 Slices,4.0,250,23,0,1,0,0,0,0,Raipur,Tier 2 Cities,Chhattisgarh,Central India
2 Square,4.3,100,29,0,0,0,0,0,0,Vellore,Tier 3 Cities,Tamil Nadu,South India
2 States,3.5,100,36,1,1,0,1,1,0,Mysore,Tier 2 Cities,Karnataka,South India
21 Baker Street,3.2,100,38,0,0,1,0,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
21st Century Bakery,3.9,200,31,0,0,1,0,0,0,Jodhpur,Tier 2 Cities,Rajasthan,North India
21st Fast Food,3.9,400,30,0,0,1,0,0,0,Jodhpur,Tier 2 Cities,Rajasthan,North India
22 Constanzaa,4.4,200,46,0,0,0,0,0,0,Chennai,Tier 1  Cities,Tamil Nadu,South India
22 Food Point,3.5,350,38,0,0,1,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
221B Shakes,4.0,500,35,0,0,1,0,0,0,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
22B The Resort,3.9,200,25,0,1,1,0,0,0,Meerut,Tier 2 Cities,Uttar Pradesh,North India
22G Nutri Kulche Wale,4.1,250,18,0,1,0,1,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
22nd Parallel,4.0,200,31,1,0,0,0,0,0,Rajkot,Tier 2 Cities,Gujarat,West India
23 Fusion Momos,4.2,150,41,0,0,0,0,0,0,Dharamshala,Tier 3 Cities,Himachal Pradesh,North India
24 Carats Mithai Magic,4.4,100,24,0,0,0,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
24 Hours Bakery Shop,3.7,200,35,0,0,0,0,0,1,Indore,Tier 2 Cities,Madhya Pradesh,Central India
24 Royal Chinese Cafe,3.6,100,37,0,0,0,0,0,0,Vadodara,Tier 2 Cities,Gujarat,West India
24/2 Maggi Villa,4.0,200,31,0,0,1,0,0,0,Meerut,Tier 2 Cities,Uttar Pradesh,North India
24/7 Food Ex,3.9,50,31,0,1,1,1,1,0,Bhopal,Tier 2 Cities,Madhya Pradesh,Central India
24Seven,4.0,250,42,0,1,1,1,0,0,NCR,NCR,NCR,NCR
24Seven,4.0,250,44,0,1,1,1,0,0,Delhi NCR,Tier 1  Cities,Delhi NCR,North India
25 Rice Bowls,4.3,350,27,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
28 Street Jam Cafe,3.6,200,43,0,0,1,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
29 States,3.4,150,24,0,1,0,0,0,0,Bhopal,Tier 2 Cities,Madhya Pradesh,Central India
2ND Wife,4.2,250,28,0,1,1,0,0,0,Agra,Tier 2 Cities,Uttar Pradesh,North India
2o2 Di Restro Cafe,3.9,150,37,0,1,1,0,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
3 Coins,4.4,450,30,0,0,0,0,0,0,Nellore,Tier 2 Cities,Andhra Pradesh,South India
3 Hill Cart Road- Jhale Jhole Ambole,4.2,100,34,0,0,0,0,0,0,Siliguri,Tier 2 Cities,West Bengal,East India
3 K Resorts,3.8,400,43,0,1,0,0,1,0,Ludhiana,Tier 2 Cities,Punjab,North India
3 Mom's Kitchen,4.3,50,38,0,1,0,0,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
3 Monkey's Cafe,4.1,150,32,0,0,1,0,0,0,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
3 Not 3 Ice Cream Cafe,4.2,200,25,0,0,0,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
3 Peg Bar & Restaurant,4.0,250,19,0,0,0,0,0,0,Jamshedpur,Tier 2 Cities,Jharkhand,East India
3 Star Bakery,4.5,150,37,0,0,1,0,0,1,Warangal,Tier 2 Cities,Telangana,South India
3 Star Sweets Bakery Restaurant,4.3,100,35,0,0,1,0,0,1,Warangal,Tier 2 Cities,Telangana,South India
3 Story,4.0,100,40,0,1,1,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
3 Way Adda,3.5,250,42,0,0,0,1,0,0,Guwahati,Tier 2 Cities,Assam,East India
3 Way Point,3.9,250,48,0,0,0,0,1,0,Guwahati,Tier 2 Cities,Assam,East India
3 Way Restaurant & Cafe,3.4,250,37,0,0,0,0,0,0,Allahabad,Tier 2 Cities,Uttar Pradesh,North India
30 Cordon Bleu,4.3,100,31,0,1,1,0,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
'-301°F! & Urban Waffle,4.0,100,40,0,0,0,0,0,0,Ranchi,Tier 2 Cities,Jharkhand,East India
31 Burgers,3.4,150,24,0,0,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
33 Eat Street,2.9,200,37,0,0,0,0,1,0,Guwahati,Tier 2 Cities,Assam,East India
33 Park Street By Junction,4.1,150,27,0,1,0,0,1,0,Jamshedpur,Tier 2 Cities,Jharkhand,East India
34 Chowringhee Lane,3.7,100,39,0,0,0,0,0,0,Bhopal,Tier 2 Cities,Madhya Pradesh,Central India
34 Chowringhee Lane,3.7,150,46,0,0,1,0,0,0,Delhi NCR,Tier 1  Cities,Delhi NCR,North India
34 Chowringhee Lane,3.7,300,37,0,0,1,0,0,0,NCR,NCR,NCR,NCR
34 Chowringhee Lane,3.8,100,30,0,0,0,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
34 Chowringhee Lane,3.8,150,37,0,0,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
34 Chowringhee Lane,3.9,200,27,0,0,0,0,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
34 Chowringhee Lane,4.2,100,46,0,0,1,0,0,0,Rishikesh,Tier 3 Cities,Uttarakhand,North India
34 Stairs,4.2,150,29,1,1,0,0,0,0,Allahabad,Tier 2 Cities,Uttar Pradesh,North India
34th August,3.5,250,30,0,0,0,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
36 China Town,3.3,250,23,0,0,0,0,0,0,Amravati,Tier 2 Cities,Maharashtra,West India
36 China Town,3.7,10,41,0,0,0,0,0,0,NCR,NCR,NCR,NCR
37 Street Affair,4.1,250,55,0,1,1,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
37 The Central,4.3,300,44,0,1,1,0,1,0,Shimla,Tier 3 Cities,Himachal Pradesh,North India
38 Street,4.1,100,27,0,0,1,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
3B Tea,3.5,150,29,0,0,0,0,0,0,Vadodara,Tier 2 Cities,Gujarat,West India
3C's Cafe,4.0,100,29,0,0,1,0,0,0,Agra,Tier 2 Cities,Uttar Pradesh,North India
3C's Shake Time,4.0,150,30,0,0,0,0,0,0,Agra,Tier 2 Cities,Uttar Pradesh,North India
3D FoodZ,4.0,250,23,0,1,1,0,0,0,Amritsar,Tier 2 Cities,Punjab,North India
3Monkeys,4.0,250,45,0,1,1,0,1,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
3rd Milestone Restaurant,4.0,150,37,0,1,1,0,0,0,Meerut,Tier 2 Cities,Uttar Pradesh,North India
3Seventy Bistro,4.2,200,47,0,0,1,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
3Seventy Kitchen,4.2,150,38,0,1,0,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
3T Foodrinks,4.0,100,37,0,1,1,0,1,0,Patna,Tier 2 Cities,Bihar,East India
4 Chef - AIIMS,4.3,100,33,0,1,1,0,0,0,Rishikesh,Tier 3 Cities,Uttarakhand,North India
4 Chef Cafe & Snack Bar,3.5,100,35,1,1,0,1,0,0,Rishikesh,Tier 3 Cities,Uttarakhand,North India
4 Chili's Kitchen,4.1,300,36,0,1,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
4 Mealer,4.1,200,43,0,0,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
4 Seasons,4.1,350,65,0,1,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
4 seasons - The Cafe Restro,4.0,150,42,0,1,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
4 Seasons Bakery & Restaurant,4.3,200,19,0,1,0,0,1,1,Visakhapatnam,Tier 2 Cities,Andhra Pradesh,South India
4 Ways Cafe & Pizza,4.0,200,41,0,0,1,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
40 Indian Thalis(PAU),3.8,150,34,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
47 South Tangra Road,4.2,100,52,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
48 Deg.C,4.3,250,38,0,0,1,0,0,0,Nagpur,Tier 2 Cities,Maharashtra,West India
4M Biryani House,3.1,200,26,0,0,0,0,1,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
4M Biryani House,4.2,350,49,0,1,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
4M Kitchen,3.7,200,43,0,1,0,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
4th Street Dining Hall,4.3,100,46,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
5 Flavours Restaurant & Cafe,3.5,200,22,0,1,1,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
5 Heads Resto Cafe,3.2,250,29,0,0,1,0,0,1,Visakhapatnam,Tier 2 Cities,Andhra Pradesh,South India
5 Shots Bistro Cafe,3.1,100,37,0,0,1,0,0,0,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
5 Shots The Juice Bar,4.1,100,27,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
5 Spice,3.8,100,39,0,0,0,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
5 Star Canteen,4.0,150,24,0,1,0,0,0,0,Goa,Tier 3 Cities,Goa,West India
5 Star Diamond Classic Pizza,4.1,250,34,0,0,1,0,0,0,Saharanpur,Tier 2 Cities,Uttar Pradesh,North India
5 Star Momos,3.7,150,41,0,0,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
5 Star Pizza,3.6,350,42,0,0,0,0,0,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
50 Ml Bar,4.0,150,34,0,1,0,0,1,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
50 Shades Of Food,3.6,100,44,0,0,1,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
50+ Burger,3.4,150,43,0,0,0,0,0,0,Chennai,Tier 1  Cities,Tamil Nadu,South India
53 Cafe House,4.0,100,33,0,1,1,0,1,0,Patna,Tier 2 Cities,Bihar,East India
55 Bistro,4.0,150,33,0,1,0,0,1,0,Nellore,Tier 2 Cities,Andhra Pradesh,South India
56 Rajwade Cafe & Restaurant,3.7,200,41,0,1,1,0,0,0,Jabalpur,Tier 2 Cities,Madhya Pradesh,Central India
6 Ballygunge Place,4.3,200,44,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
6 Ballygunge Place Take Away,4.4,50,26,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
6 Ballygunge Place Takeaway,4.2,100,45,0,1,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
6 Ballygunge Place Thali,4.2,150,51,0,0,1,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
6 One Restaurant,4.0,200,38,0,1,0,0,0,0,Darbhanga,Tier 3 Cities,Bihar,East India
60 ML,3.8,150,39,0,1,0,0,1,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
65 Corner Fast Food,4.1,150,32,0,0,0,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
666 Cafe,3.3,250,33,0,0,0,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
7 Art's Of Swad,4.0,250,21,0,1,0,1,0,0,Bhavnagar,Tier 2 Cities,Gujarat,West India
7 Bakes,4.3,150,37,0,0,1,0,0,0,Mangalore,Tier 2 Cities,Karnataka,South India
7 Cheese Pizza,4.1,200,38,0,0,1,0,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
7 Coffee Beans,4.3,100,20,0,0,0,1,0,0,Guntur,Tier 2 Cities,Andhra Pradesh,South India
7 Colour's Kabab Hut,4.0,250,26,0,1,0,0,1,0,Patna,Tier 2 Cities,Bihar,East India
7 Days,3.5,150,40,0,1,1,0,0,0,Patna,Tier 2 Cities,Bihar,East India
7 Days Pure Veg Restaurant,3.7,400,46,1,1,1,1,0,0,Nagpur,Tier 2 Cities,Maharashtra,West India
7 Degree Lounge,3.9,600,32,0,1,1,0,1,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
7 Eleven Fried Chicken,4.0,100,46,0,0,1,0,0,0,Trichy,Tier 2 Cities,Tamil Nadu,South India
7 Heaven Restro,4.0,100,37,0,1,0,0,1,0,Allahabad,Tier 2 Cities,Uttar Pradesh,North India
7 Sisters,4.1,300,51,0,0,0,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
7 Spice,4.1,350,31,0,0,0,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
7 Spicery,4.0,150,38,0,1,0,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
7 Spices,4.1,150,24,0,1,0,0,1,0,Ajmer,Tier 2 Cities,Rajasthan,North India
7 Spices Restaurant,4.1,250,41,0,1,0,0,0,0,Kota,Tier 2 Cities,Rajasthan,North India
7 Star Dhaba,4.1,150,33,0,1,1,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
7/12 Fried Ice Cream,3.0,100,59,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
7/12 Fried Ice Cream Parlour,3.0,100,61,0,0,1,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
70 Percent Diet,4.4,150,37,0,0,0,0,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
70 Percent Restro Cafe,4.3,250,42,0,1,1,1,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
78 Degrees Cafe & Restro,3.6,150,40,0,1,1,0,0,0,Bhopal,Tier 2 Cities,Madhya Pradesh,Central India
78 Singh,3.9,200,29,0,1,1,1,0,0,Jaipur,Tier 2 Cities,Rajasthan,North India
786 Biryani,4.1,350,17,0,0,0,0,1,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
786 Chicken & Biryani Center Chacha Ki Dukan,3.8,150,19,0,0,0,1,1,0,Raipur,Tier 2 Cities,Chhattisgarh,Central India
7th Cloud Restaurant,4.2,300,45,0,1,1,0,1,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
7th Heaven,3.3,100,25,0,0,1,0,0,1,Jalandhar,Tier 2 Cities,Punjab,North India
7th Heaven,3.3,200,49,0,0,0,0,0,1,Motihari,Tier 3 Cities,Bihar,East India
7th Heaven,3.4,150,29,0,0,0,0,0,1,Raipur,Tier 2 Cities,Chhattisgarh,Central India
7th Heaven,3.4,300,36,0,0,1,0,0,1,Darbhanga,Tier 3 Cities,Bihar,East India
7th Heaven,3.6,300,16,0,0,0,0,0,1,Mumbai,Tier 1  Cities,Maharashtra,West India
7th Heaven,3.7,100,14,0,0,0,0,0,1,Rajkot,Tier 2 Cities,Gujarat,West India
7th Heaven,3.7,200,22,0,0,1,0,0,1,Amritsar,Tier 2 Cities,Punjab,North India
7th Heaven,3.8,200,18,0,0,1,0,0,1,Jhansi,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven,3.8,200,37,0,0,0,0,0,1,Patna,Tier 2 Cities,Bihar,East India
7th Heaven,3.9,50,40,0,0,0,0,0,1,Darbhanga,Tier 3 Cities,Bihar,East India
7th Heaven,3.9,100,24,0,0,1,0,0,0,Firozabad,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven,3.9,250,39,0,0,0,0,0,1,Siliguri,Tier 2 Cities,West Bengal,East India
7th Heaven,4.0,100,21,0,0,0,0,0,1,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
7th Heaven,4.0,100,36,0,0,1,0,0,0,Haridwar,Tier 3 Cities,Uttarakhand,North India
7th Heaven,4.0,200,44,0,0,1,0,0,1,Kolkata,Tier 1  Cities,West Bengal,East India
7th Heaven,4.1,50,33,0,0,0,0,0,1,Jamshedpur,Tier 2 Cities,Jharkhand,East India
7th Heaven,4.1,150,41,0,0,1,0,0,1,Ludhiana,Tier 2 Cities,Punjab,North India
7th Heaven,4.2,100,29,0,0,0,0,0,1,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven,4.2,200,24,0,0,0,0,0,1,Bareilly,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven,4.2,200,31,0,0,1,0,0,1,Varanasi,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven,4.2,250,19,0,0,1,0,0,1,Patna,Tier 2 Cities,Bihar,East India
7th Heaven,4.3,150,19,0,0,0,0,0,1,Cuttack,Tier 2 Cities,Odisha,East India
7th Heaven,4.3,150,34,0,0,0,0,0,1,Jhansi,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven,4.3,300,23,0,0,0,0,0,1,Manipal,Tier 3 Cities,Karnataka,South India
7th Heaven - A Slice of Happiness,4.0,100,37,0,0,0,0,0,0,Mangalore,Tier 2 Cities,Karnataka,South India
7th Heaven - A Slice of Happiness,4.3,200,31,0,0,1,0,0,1,Manipal,Tier 3 Cities,Karnataka,South India
7th Heaven - A Slice of Happiness,4.4,100,38,0,0,0,0,0,1,Mangalore,Tier 2 Cities,Karnataka,South India
7th Heaven Bakery,4.3,150,24,0,0,1,0,0,1,Visakhapatnam,Tier 2 Cities,Andhra Pradesh,South India
7th Heaven Cafe,3.9,150,23,0,0,1,0,0,1,Jhansi,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven Cafe & Lounge,3.4,100,35,0,0,1,0,0,0,Jhansi,Tier 2 Cities,Uttar Pradesh,North India
7th Heaven Cake Shop,4.2,200,31,0,0,1,0,0,1,Coimbatore,Tier 2 Cities,Tamil Nadu,South India
7th Heaven Cake Shop,4.2,200,43,0,0,0,0,0,1,Pune,Tier 1  Cities,Maharashtra,West India
7th Heaven Cake Shop,4.3,400,32,0,0,0,0,0,1,Patna,Tier 2 Cities,Bihar,East India
7th Heaven Restaurant,3.0,200,33,0,1,1,1,0,0,Gaya,Tier 3 Cities,Bihar,East India
7th Heaven Slice Of Happiness,4.3,100,31,0,0,1,0,0,1,Mangalore,Tier 2 Cities,Karnataka,South India
7th Heaven-Derebail,4.0,100,30,0,0,1,0,0,1,Mangalore,Tier 2 Cities,Karnataka,South India
7th Sky,3.7,150,42,0,0,0,0,0,1,Patna,Tier 2 Cities,Bihar,East India
7ven 11ven Restaurant,4.3,250,27,0,1,1,0,1,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
8 Momoz,4.1,200,29,0,1,1,0,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
8 The Pizza Stone,4.3,150,41,0,1,1,0,1,0,Ahmedabad,Tier 1  Cities,Gujarat,West India
80N Restaurant,3.6,100,42,1,1,1,1,0,0,Jaipur,Tier 2 Cities,Rajasthan,North India
812 CE - Courtyard By Marriott,3.9,150,42,1,1,0,0,0,0,Vadodara,Tier 2 Cities,Gujarat,West India
87 Cafe & Resto,3.4,100,47,1,1,1,1,1,0,Patna,Tier 2 Cities,Bihar,East India
89 Mint Leaf,4.2,200,35,0,1,0,0,1,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
8th Day Cafe & Bakery,4.4,100,42,0,0,0,0,0,1,Kolkata,Tier 1  Cities,West Bengal,East India
8th Day Cafe & Bakery,4.4,200,57,0,0,0,0,0,1,Kolkata,Tier 1  Cities,West Bengal,East India
9 Coins Cafe,4.0,100,35,0,0,1,0,0,0,Meerut,Tier 2 Cities,Uttar Pradesh,North India
9 PM Cafe,3.4,100,52,0,1,0,0,0,0,Kanpur,Tier 2 Cities,Uttar Pradesh,North India
9 Shine,4.3,200,27,0,0,1,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
9 Street Pizza,3.8,150,31,0,0,0,0,0,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
9 Tea's Cafe,3.5,150,28,0,0,1,1,0,0,Allahabad,Tier 2 Cities,Uttar Pradesh,North India
9 To 9 Biryani & Street Food,4.2,250,28,0,1,0,0,1,0,Patna,Tier 2 Cities,Bihar,East India
90's Cafe,4.2,100,32,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
90's Memories,3.8,40,38,0,0,0,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
90's Restaurant,4.0,350,21,0,0,0,0,1,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
